TIP31C-ST,"1,06 € (7,99 kn)",TR-N-100V 3A 40W(TO220),9  - ima na lageru
TIP3055-ST,"1,99 € (14,99 kn)",TR-N-100V 15A 90W(TO247),0  - pošalji upit
TIP2955-ST(TO247),"1,39 € (10,47 kn)",TR-P-100V 15A 90W(TO247),11  - ima na lageru
TIP152-NTE(TO220),"4,99 € (37,60 kn)",TR N-DARL+DI 400V 7A 80W,7  - ima na lageru
TIP152,"0,00 € (0,00 kn)",TR,0  - pošalji upit
TIP147-ST,"4,19 € (31,57 kn)",TR-P-DARL+DI-100V 10A 125W(TO247),15  - ima na lageru
TIP142T-ST,"3,32 € (25,01 kn)",TR N-DARL+DI 100V 10A 125W(TO220),121  - ima na lageru
TIP142G-ON(TO218),"4,48 € (33,75 kn)",TR-N-DARL-100V 10A 125W,0  - pošalji upit
TIP142-ST,"3,60 € (27,12 kn)",TR N-DARL+DI 100V 10A 125W(TO247),5  - ima na lageru
TIP141,"0,00 € (0,00 kn)",TR=TIP142,0  - pošalji upit
TIP137-MBR,"0,93 € (7,01 kn)",TR-P+Di-DARL 100V 8A 70W B>1000,4  - ima na lageru
TIP135,"0,00 € (0,00 kn)",TR-P-DARL 60V 8A 70W B>1000,0  - pošalji upit
TIP132-ST(TO220),"1,86 € (14,01 kn)",TR-N-DARL 100V 8A 70W(TO220),9  - ima na lageru
TIP131G-ONS,"1,33 € (10,02 kn)",TR-N-DARL+Di 80V 8A 70W B>1000,1  - ima na lageru
TIP131-MBR,"0,00 € (0,00 kn)",TR,0  - pošalji upit
TIP130,"0,00 € (0,00 kn)",TR N-DARL+Di 60V 8A 70W B>1000,0  - pošalji upit
TIP127-ST(TO220),"1,33 € (10,02 kn)",TR-P-DARL+DI 100V 5A 65W,25  - ima na lageru
TIP126TU-ON,"0,80 € (6,03 kn)",TR-P-DARL.80V 5A 2W(TO220),0  - pošalji upit
TIP126-FSC,"0,93 € (7,01 kn)",TR-P-DARL+Di 80V 5A 65W B>1000,20  - ima na lageru
TIP125-ST,"1,33 € (10,02 kn)",TR-P-DARL+DI 60V 5A 65W(TO220),10  - ima na lageru
TIP122-ST,"1,13 € (8,51 kn)",TR-N-DARL+DI 100V 5A 65W >1000(TO220),54  - ima na lageru
TIP121G-ON,"0,93 € (7,01 kn)",TR-N-DARLINGTON-80V 5A 2W(TO220),45  - ima na lageru
TIP112-ST(TO220),"1,59 € (11,98 kn)",TR-N-DARL 100V 4A 50W >1000,19  - ima na lageru
TIP111-ST,"0,93 € (7,01 kn)",TR-N-80V 4A 50W(TO-220),26  - ima na lageru
TIP110-MBR,"0,80 € (6,03 kn)",TR-N-DARL-60V 4A 50W >1000,7  - ima na lageru
TIP107-ST,"1,59 € (11,98 kn)",TR-P-DARLINGTON 100V 8A 80W(TO-220),4  - ima na lageru
TIP105-ST,"1,33 € (10,02 kn)",TR-P-DARLINGTON 100V 8A 80W(TO-220),14  - ima na lageru
TIP102-INF,"1,33 € (10,02 kn)",TR-N-DARL- 100V 15A 80W(TO220),20  - ima na lageru
THKM-TO220,"0,28 € (2,11 kn)",DRŽAČ TRANZISTORA-FEDER-TO220,9  - ima na lageru
THD200FI-ST,"4,58 € (34,51 kn)",TR-SI-N 1500V 10A 60W,5  - ima na lageru
TERMOPAD-15X1-AG TH,"4,84 € (36,47 kn)",TAPE HEAT TRANSFER W20mm L130mm d1mm,0  - pošalji upit
TE2061,"0,00 € (0,00 kn)",TR N-DARL+DI 100V 10A 125W,0  - pošalji upit
TDC144ES-RHM,"0,00 € (0,00 kn)",,0  - pošalji upit
TC4420-MIC,"5,71 € (43,02 kn)",IC MOSFET PDIP8=MIC4420,5  - ima na lageru
T2610ADG(TO252),"0,00 € (0,00 kn)",TR-SMD(TO252),0  - pošalji upit
T1829-1,"0,00 € (0,00 kn)",=MJ11015-ON,0  - pošalji upit
SXTA42TA-DI,"3,00 € (22,60 kn)",TR-N 300V 500mA 1W (SOT89-3) BIPOLAR,3  - ima na lageru
SUP85N15-21-E3-VIS,"7,70 € (58,02 kn)",TR-N-FET 150V 85A 300W(TO220),10  - ima na lageru
SUP70N06-14E3-VHY,"3,45 € (25,99 kn)",TR-N-FET 60V 70A 142W 0.014E(TO220),0  - pošalji upit
SUP57N20-33-VISHAY,"7,73 € (58,24 kn)",TR-N-FET 200V 57A 300W (TO220AB),11  - ima na lageru
SUD40N10-25-E3,"2,12 € (15,97 kn)",TR-N-FET 40V 10A 71W(TO252),18  - ima na lageru
SUD40N06-25L-VIS(TO252),"2,90 € (21,85 kn)",TR-N-FET-SMD-60V 20A 0.022R 75W,18  - ima na lageru
SUD25N15-52-E3,"3,72 € (28,03 kn)",TR-N-FET 150V 25A 136W 52mOhm(TO252),47  - ima na lageru
SUD25N06-45L-VIS(TO252),"2,65 € (19,97 kn)",TR-N-FET-60V 25A 50W 25mR,20  - ima na lageru
SUB60N06-08-VISHAY,"2,39 € (18,01 kn)",TR-N-FET-60V 60A 175*(TO263),20  - ima na lageru
STW9NK70Z-ST,"2,12 € (15,97 kn)","TR-N-FET 700V 9A 1,1R( TO-247)",12  - ima na lageru
STW9N150-ST(TO247),"18,00 € (135,62 kn)",TR-N-FET 1500V 8A 320W 2R5,5  - ima na lageru
STW7NK90Z-ST,"3,10 € (23,36 kn)","TR-N-FET 900V 5,8A (TO-247)",4  - ima na lageru
STW45NM60-ST,"11,28 € (84,99 kn)",TR-N-FET 600V 45A 417W,6  - ima na lageru
STW45NM50-ST,"8,67 € (65,32 kn)",TR-N-FET 550V 45A 417W <0.1R,0  - pošalji upit
STW34NB20,"0,00 € (0,00 kn)",TR-N FET 200V 33A 170W,0  - pošalji upit
STW29NK50Z-ST,"7,14 € (53,80 kn)",TR-N-FET 500V 29A (TO247),10  - ima na lageru
STW26NM60N-ST,"6,19 € (46,64 kn)",TR-N FET 600V 12.6A 313W 135mR(TO247F),2  - ima na lageru
STW20NM60FD-ST(TO247),"5,63 € (42,42 kn)",TR-N FET 600V 20A 214W 240mR,9  - ima na lageru
STW20NM50FD-ST(TO247),"5,60 € (42,19 kn)",TR-N-FET500V 20A,9  - ima na lageru
STW20NK50Z-ST(TO247),"3,94 € (29,69 kn)",TR-N FET 500V 20A 190W 27mR(TO247),1  - ima na lageru
STW18NM80-ST,"7,83 € (59,00 kn)",TR-N-FET 800V 18A 190W(TO247),0  - pošalji upit
STW18NK80Z-ST,"7,79 € (58,69 kn)",TR-N FET 800V 19A 350W(TO247),7  - ima na lageru
STW15NK50Z-ST,"7,50 € (56,51 kn)",TR-N-FET 500V 15A 160W(TO247),10  - ima na lageru
STW13NB60-ST,"6,11 € (46,04 kn)","TR-N-FET 600V 13A Rds0,55(TO-247)",10  - ima na lageru
STW12NK90Z-ST,"4,51 € (33,98 kn)",TR-N-FET 900V 12A 230W(TO247),13  - ima na lageru
STW11NK100Z-ST,"4,65 € (35,04 kn)",TR-N-FET 1000V 11A 230W 1R38(TO247),1  - ima na lageru
STW10NK80Z-ST,"4,25 € (32,02 kn)",TR-N-FET 800V 10A 160W(TO-247),5  - ima na lageru
STU407D-ORIGINAL,"3,07 € (23,13 kn)",TR-SMD-N/P FET-40V 12A 11W 175*C(TO-252),7  - ima na lageru
STU3N62K3,"0,00 € (0,00 kn)",TR-SMD FET 30V 2.7A 45W (TO-251),0  - pošalji upit
STU312D,"3,34 € (25,17 kn)",TR-DUAL N/P-FET(TO252-5),6  - ima na lageru
STS26N3LLH6-ST,"6,64 € (50,03 kn)",TR-SMD-N-FET 30V 26A(SO8),18  - ima na lageru
STQ1NC45R-AP-ST,"3,44 € (25,92 kn)","TR-N-FET-450V 0,5A 3,1W 4,5R (TO92)",10  - ima na lageru
