5L0380R=5M0380R,"2,92 EUR",I.C.,nedostupno
5M02659R DIL8,"3,05 EUR",I.C.,nedostupno
5M0265R TO220,"3,58 EUR",I.C.,nedostupno
5M0365R (=5L)  TO220,"2,52 EUR",I.C.,dodaj
5M0365R DIL=5L*,"3,58 EUR",I.C.,dodaj
5M0380R=5L0380R TO220*,"3,58 EUR",I.C.,nedostupno
5Q0565RT TO220,"4,51 EUR",I.C.,nedostupno
APU2471II,"15,26 EUR",I.C.,dodaj
APW7070A,"2,39 EUR",I.C.,dodaj
APW7302B,"2,92 EUR",I.C.,nedostupno
AQH1223  DIP,"3,98 EUR",I.C.,dodaj
AQH2223,"4,51 EUR",900MA 600VAC,dodaj
AS1113-BSSU  SMD 24SSOP,"4,51 EUR",LED DRIVER LINEAR 50MA 16OUTP,dodaj
AS15F SMD*,"3,95 EUR",I.C.,dodaj
AS15G,"5,95 EUR",I.C.,dodaj
AS19H1G SMD*,"4,78 EUR",I.C.,dodaj
AS34-G*,"5,31 EUR",I.C.,dodaj
AT24C512-SS  SO8=M24512,"2,12 EUR",EEPROM,nedostupno
AT27C020-90JU PLCC32,"6,24 EUR",I.C.,dodaj
AT27C040-70PU,"8,49 EUR",I.C.,dodaj
AT27C512R-45PU  DIP28,"6,37 EUR",I.C.,dodaj
AT45DB081E-SHNT  SMD8,"2,65 EUR",FLASCH MEMORY 133MHZ,dodaj
AT89S5224 SMD,"10,09 EUR",I.C.,dodaj
AT90S2313-20PI DIL,"97,00 EUR",I.C.,nedostupno
ATA6625C  SMD8 8SO,"4,91 EUR",I.C.,dodaj
ATMEGA649V-8AU,"7,96 EUR",I.C.,dodaj
ATTINY817-XMINI,"22,16 EUR",KIT MICROCHIP,nedostupno
ATTINY84-20SSU  SO14,"4,38 EUR",EEPROM 512B,nedostupno
ATTINY85-20SU SMD,"3,32 EUR",EEPROM 512B SRAM,dodaj
ATXMEGA384C3-AU,"12,74 EUR",EPROM,nedostupno
ATXMEGA8E5-AU,"5,31 EUR",I.C. EEPROM  TQFP32,nedostupno
AY3-8203,"8,63 EUR",I.C.,dodaj
AY3-8210,"3,32 EUR",I.C.,dodaj
AY3-8330,"9,03 EUR",I.C.,dodaj
AY3-8500,"5,97 EUR",I.C.,nedostupno
AY3-8910,"12,48 EUR",I.C.,nedostupno
AY5-1203,"4,25 EUR",I.C.,dodaj
AY5-1232,"3,98 EUR",I.C.,dodaj
AY5-8100,"3,19 EUR",I.C.,dodaj
AY5-8320,"11,41 EUR",I.C.,dodaj
AY5-8321,"9,22 EUR",I.C.,dodaj
AZ7500BPE1  DIL16,"3,85 EUR",I.C.,dodaj
B4002-0097,"11,28 EUR",I.C.,dodaj
BA033S SMD,"2,92 EUR",I.C.,dodaj
BA033T,"3,05 EUR",I.C.,dodaj
BA05T,"3,19 EUR",STABILIZATOR,dodaj
BA08T,"1,99 EUR",STABILIZATOR,dodaj
BA1320,"1,59 EUR",I.C.,dodaj
BA1332,"1,59 EUR",I.C.,dodaj
BA1332L,"1,59 EUR",I.C.,dodaj
BA1350,"1,59 EUR",I.C.,dodaj
BA1356,"1,86 EUR",I.C.,dodaj
BA1404,"1,99 EUR",I.C.,dodaj
BA1450S,"1,59 EUR",I.C.,dodaj
BA15218 DIL,"0,80 EUR",I.C.,dodaj
BA15218N SIL=NJM4558L,"0,80 EUR",I.C.,nedostupno
BA2902F SMD,"2,26 EUR",I.C.,dodaj
BA301,"2,92 EUR",I.C.,dodaj
BA312,"2,12 EUR",I.C.,dodaj
BA3126,"2,12 EUR",I.C.,dodaj
BA313,"0,53 EUR",I.C.,dodaj
