Part Number, Price, Package, Qty
TEA1504-PHI,"2,26 € (17,03 kn)",IC-SMPS CNTRL IC GREENCHIP,12
TEA1501-PHI,"4,51 € (33,98 kn)",SMPS CNTR GREEN POWER,1
TEA1102-PHI,"3,90 € (29,38 kn)",IC-NIMH CHARGER CONTROL+MON,0
TEA1100-PHI(DIP16),"14,26 € (107,44 kn)",IC-BATERY MONITOR FOR NICD CHARGER,4
TEA1093-PHI,"5,18 € (39,03 kn)",IC,2
TEA1090,"3,45 € (25,99 kn)",ic,1
TEA1067-PHI,"2,44 € (18,38 kn)",INTEGRIRANI KRUG,3
TEA1062A-PHI,"1,83 € (13,79 kn)",IC-TELEPHONE CIRCUIT,2
TEA1062-PHI,"1,86 € (14,01 kn)",IC,3
TEA1061/DIV,"0,93 € (7,01 kn)",INTEGRIRANI KRUG,2
TEA1061-PHI,"1,51 € (11,38 kn)",IC-TELEPHONE DIAL+TRANSM.18p,2
TEA0652,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
TE404,"0,00 € (0,00 kn)",IC,0
TE2256,"0,00 € (0,00 kn)",IC,0
TDF8599ATH-NXP,"21,24 € (160,03 kn)",IC-AUDIO AMP 135W/4ohm CLASS-D SMD,3
TDF8597TH-NXP,"23,79 € (179,25 kn)",IC-AUDIO AMP 2-CH STEREO 150W CLASS D,3
TDF8530TF-NXP,"24,55 € (184,97 kn)",IC,4
TDE1798DP-MBR,"11,32 € (85,29 kn)",IC-INTELIGENT POW-SW 0.5A,0
TDE1798-ST,"11,32 € (85,29 kn)",IC,0
TDE1767DP-ST,"6,08 € (45,81 kn)",IC-POWER SWITCH 45V 0.5A,10
